cell_type_markers_ext,TFs_Fantom5_mouse,mature_sel_volcano,immature_sel_volcano,mature_immature_sel_IF,Homeo_TFs_mouse,main_cand_TFs
,Zfp512,,,,Meis1,
,Zfp511,,,,Meis2,
,Zfp51,,,,Meis3,
,Zfp507,,,,Mkx,
,Zfp503,,,,Pbx1,
,Zfp498,,,,Pbx2,
,Zfp488,,,,Pbx3,
,Zfp474,,,,Pbx4,
,Zfp467,,,,Pknox1,
,Zfp462,,,,Pknox2,
,Zfp46,,,,Tgif1,
,Zfp458,,,,Tgif1p1,
,Zfp456,,,,Tgif2,
,Zfp455,,,,Tgif2lx1,
,Zfp454,,,,Tgif2lx2,
,Zfp451,,,,Cux1,
,Zfp449,,,,Cux2,
,Zfp446,,,,Onecut1,
,Zfp445,,,,Onecut2,
,Zfp444,,,,Onecut3,
,Zfp438,,,,Satb1,
,Zfp429,,,,Satb2,
,Zfp428,,,,Prox1,
,Zfp426,,,,Prox2,
,Zfp422,,,,Adnp,
,Zfp420,,,,Adnp2,
,Zfp42,,,,Homez,
,Zfp418,,,,Tshz1,
,Zfp414,,,,Tshz2,
,Zfp410,,,,Tshz3,
,Zfp41,,,,Zeb1,
,Zfp408,,,,Zeb2,
,Zfp407,,,,Zfhx2,
,Zfp398,,,,Zfhx3,
,Zfp397,,,,Zfhx4,
,Zfp395,,,,Zhx1,
,Zfp39,,,,Zhx2,
,Zfp386,,,,Zhx3,
,Zfp385c,,,,Lass2,
,Zfp385b,,,,Lass3,
,Zfp385a,,,,Lass4,
,Zfp384,,,,Lass5,
,Zfp382,,,,Lass6,
,Zfp37,,,,Cphx,
,Zfp36l2,,,,Crxos1,
,Zfp36l1,,,,E530001F21Rik,
,Zfp369,,,,Gm2104,
,Zfp367,,,,Gm2135,
,Zfp366,,,,Gm2559,
,Zfp365,,,,Gm3761,
,Zfp362,,,,Gm4222,
,Zfp358,,,,Gm4412,
,Zfp354c,,,,Gm5585,
,Zfp354b,,,,Gm5585p1,
,Zfp354a,,,,Gm5585p2,
,Zfp346,,,,Gm5585p3,
,Zfp341,,,,Gm7235,
,Zfp335,,,,Gm8282,
,Zfp334,,,,Gm8743,
,Zfp329,,,,Gm9376,
,Zfp326,,,,,
,Zfp324,,,,,
,Zfp322a,,,,,
,Zfp319,,,,,
,Zfp318,,,,,
,Zfp317,,,,,
,Zfp30,,,,,
,Zfp3,,,,,
,Zfp296,,,,,
,Zfp295,,,,,
,Zfp292,,,,,
,Zfp287,,,,,
,Zfp286,,,,,
,Zfp282,,,,,
,Zfp281,,,,,
,Zfp280d,,,,,
,Zfp280c,,,,,
,Zfp280b,,,,,
,Zfp28,,,,,
,Zfp277,,,,,
,Zfp276,,,,,
,Zfp275,,,,,
,Zfp273,,,,,
,Zfp27,,,,,
,Zfp263,,,,,
,Zfp260,,,,,
,Zfp26,,,,,
,Zfp251,,,,,
,Zfp248,,,,,
,Zfp239,,,,,
,Zfp238,,,,,
,Zfp236,,,,,
,Zfp235,,,,,
,Zfp219,,,,,
,Zfp217,,,,,
,Zfp213,,,,,
,Zfp212,,,,,
,Zfp207,,,,,
,Zfp202,,,,,
,Zfp2,,,,,
,Zfp192,,,,,
,Zfp191,,,,,
,Zfp189,,,,,
,Zfp187,,,,,
,Zfp184,,,,,
,Zfp182,,,,,
,Zfp180,,,,,
,Zfp174,,,,,
,Zfp167,,,,,
,Zfp161,,,,,
,Zfp160,,,,,
,Zfp148,,,,,
,Zfp146,,,,,
,Zfp143,,,,,
,Zfp142,,,,,
,Zfp141,,,,,
,Zfp14,,,,,
,Zfp13,,,,,
,Zfp128,,,,,
,Zfp12,,,,,
,Zfp113,,,,,
,Zfp111,,,,,
,Zfp110,,,,,
,Zfp11,,,,,
,Zfp108,,,,,
,Zfp106,,,,,
,Zfp105,,,,,
,Zfp1,,,,,
,Zfhx4,,,,,
,Zfhx3,,,,,
,Zfhx2,,,,,
,Zfat,,,,,
,Zeb2,,,,,
,Zcchc6,,,,,
,Zcchc11,,,,,
,Zc3h8,,,,,
,Zc3h7b,,,,,
,Zc3h7a,,,,,
,Zc3h6,,,,,
,Zc3h4,,,,,
,Zc3h3,,,,,
,Zc3h18,,,,,
,Zc3h15,,,,,
,Zc3h14,,,,,
,Zc3h13,,,,,
,Zc3h12b,,,,,
,Zc3h12a,,,,,
,Zc3h11a,,,,,
,Zc3h10,,,,,
,Zbtb9,,,,,
,Zbtb8b,,,,,
,Zbtb8a,,,,,
,Zbtb7c,,,,,
,Zbtb7b,,,,,
,Zbtb7a,,,,,
,Zbtb6,,,,,
,Zbtb5,,,,,
,Zbtb49,,,,,
,Zbtb48,,,,,
,Zbtb46,,,,,
,Zbtb45,,,,,
,Zbtb44,,,,,
,Zbtb43,,,,,
,Zbtb42,,,,,
,Zbtb41,,,,,
,Zbtb40,,,,,
,Zbtb4,,,,,
,Zbtb39,,,,,
,Zbtb38,,,,,
,Zbtb37,,,,,
,Zbtb33,,,,,
,Zbtb32,,,,,
,Zbtb3,,,,,
,Zbtb26,,,,,
,Zbtb25,,,,,
,Zbtb24,,,,,
,Zbtb22,,,,,
,Zbtb20,,,,,
,Zbtb2,,,,,
,Zbtb17,,,,,
,Zbtb16,,,,,
,Zbtb12,,,,,
,Zbtb11,,,,,
,Zbtb10,,,,,
,Zbtb1,,,,,
,Zbp1,,,,,
,Zbed6,,,,,
,Zbed4,,,,,
,Zbed3,,,,,
,Yy2,,,,,
,Yy1,,,,,
,Yeats4,,,,,
,Yeats2,,,,,
,Ybx2,,,,,
,Ybx1,,,,,
,Xbp1,,,,,
,Wt1,,,,,
,Wiz,,,,,
,Whsc1,,,,,
,Wdhd1,,,,,
,Vsx2,,,,,
,Vsx1,,,,,
,Vezf1,,,,,
,Vax2,,,,,
,Vax1,,,,,
,Utf1,,,,,
,Usf2,,,,,
,Unkl,,,,,
,Unk,,,,,
,Uncx,,,,,
,Ubtf,,,,,
,Ubp1,,,,,
,Twist2,,,,,
,Twist1,,,,,
,Tub,,,,,
,Ttf2,,,,,
,Ttf1,,,,,
,Tshz3,,,,,
,Tshz2,,,,,
,Tshz1,,,,,
,Tsc22d4,,,,,
,Tsc22d3,,,,,
,Tsc22d2,,,,,
,Tsc22d1,,,,,
,Trps1,,,,,
,Trp73,,,,,
,Trp63,,,,,
,Trp53,,,,,
,Trerf1,,,,,
,Tox4,,,,,
,Tox3,,,,,
,Tox2,,,,,
,Tox,,,,,
,Topors,,,,,
,Toe1,,,,,
,Tlx3,,,,,
,Tlx2,,,,,
,Thrb,,,,,
,Thra,,,,,
,Thap8,,,,,
,Thap7,,,,,
,Thap6,,,,,
,Thap4,,,,,
,Thap3,,,,,
,Thap2,,,,,
,Thap11,,,,,
,Thap1,,,,,
,Tgif2,,,,,
,Tgif1,,,,,
,Tfec,,,,,
,Tfeb,,,,,
,Tfe3,,,,,
,Tfdp2,,,,,
,Tfdp1,,,,,
,Tfcp2l1,,,,,
,Tfcp2,,,,,
,Tfb2m,,,,,
,Tfb1m,,,,,
,Tfap4,,,,,
,Tfap2e,,,,,
,Tfap2d,,,,,
,Tfap2c,,,,,
,Tfap2b,,,,,
,Tfam,,,,,
,Tet3,,,,,
,Tet2,,,,,
,Tet1,,,,,
,Terf2,,,,,
,Terf1,,,,,
,Tef,,,,,
,Tead4,,,,,
,Tead3,,,,,
,Tead2,,,,,
,Tcfl5,,,,,
,Tcf7l2,,,,,
,Tcf7l1,,,,,
,Tcf7,,,,,
,Tcf4,,,,,
,Tcf25,,,,,
,Tcf23,,,,,
,Tcf21,,,,,
,Tcf20,,,,,
,Tcf19,,,,,
,Tcf15,,,,,
,Tcf12,,,,,
,Tbx5,,,,,
,Tbx4,,,,,
,Tbx3,,,,,
,Tbx22,,,,,
,Tbx21,,,,,
,Tbx20,,,,,
,Tbx2,,,,,
,Tbx19,,,,,
,Tbx18,,,,,
,Tbx15,,,,,
,Tbx1,,,,,
,Tbr1,,,,,
,Tbpl1,,,,,
,Tax1bp3,,,,,
,Tax1bp1,,,,,
,Tal2,,,,,
,Taf1,,,,,
,Tada2b,,,,,
,Tada2a,,,,,
,Stat6,,,,,
,Stat5b,,,,,
,Stat5a,,,,,
,Stat4,,,,,
,Stat2,,,,,
,St18,,,,,
,Ssrp1,,,,,
,Srebf2,,,,,
,Srebf1,,,,,
,Spic,,,,,
,Spdef,,,,,
,Sp9,,,,,
,Sp8,,,,,
,Sp7,,,,,
,Sp6,,,,,
,Sp5,,,,,
,Sp4,,,,,
,Sp3,,,,,
,Sp2,,,,,
,Sp140,,,,,
,Sp110,,,,,
,Sp100,,,,,
,Sox8,,,,,
,Sox7,,,,,
,Sox6,,,,,
,Sox4,,,,,
,Sox30,,,,,
,Sox3,,,,,
,Sox21,,,,,
,Sox18,,,,,
,Sox15,,,,,
,Sox14,,,,,
,Sox13,,,,,
,Sox12,,,,,
,Sox11,,,,,
,Sox10,,,,,
,Sox1,,,,,
,Sohlh2,,,,,
,Sohlh1,,,,,
,Snapc4,,,,,
,Snai3,,,,,
,Snai2,,,,,
,Snai1,,,,,
,Smarce1,,,,,
,Smarcd3,,,,,
,Smarcd2,,,,,
,Smarcd1,,,,,
,Smarcc2,,,,,
,Smarcc1,,,,,
,Smarcb1,,,,,
